1.257302210933932962e-01,-1.321048632913018883e-01,6.404226504432820599e-01,1.049001171530397070e-01
-5.356693731611109621e-01,3.615950549094847366e-01,1.304000045130137231e+00,9.470809631292421704e-01
-7.037352358069925984e-01,-1.265421471046052515e+00,-6.232744625373521918e-01,4.132597934724360073e-02
-2.325030774638834341e+00,-2.187916639325457324e-01,-1.245910947253065171e+00,-7.322673547034516117e-01
-5.442589828573098920e-01,-3.163001563691545392e-01,4.116305363741328271e-01,1.042513369442677584e+00
-1.285346629440342614e-01,1.366463470549685866e+00,-6.651946734866135413e-01,3.515100700930197108e-01
9.034701816518085904e-01,9.401229776087456635e-02,-7.434992493538084002e-01,-9.217253762584194376e-01
-4.577258256673391590e-01,2.201951234700494087e-01,-1.009618183538735892e+00,-2.091755748717130658e-01
-1.592250099144777165e-01,5.408455846858076788e-01,2.146591225063408936e-01,3.553727090399214084e-01
-6.538286094183394237e-01,-1.296136336927694588e-01,7.839754700613295046e-01,1.493431145220760703e+00
-1.259065532104120200e+00,1.513923774739062589e+00,1.345875423782304514e+00,7.813114007004274830e-01
2.644556303293035260e-01,-3.139228145364277855e-01,1.458020683536958684e+00,1.960258316449964733e+00
1.801634869866125088e+00,1.315103764734369962e+00,3.573804106589559826e-01,-1.208318632282171512e+00
-4.454133120083228828e-03,6.564749350763358082e-01,-1.288361463749554403e+00,3.951220601820082390e-01
4.298636948222300247e-01,6.960427239628684815e-01,-1.184117966757189055e+00,-6.617025720390349308e-01
-4.364352471432212388e-01,-1.169801907772864080e+00,1.739367877130133966e+00,-4.959107284421518935e-01
3.289696294602020843e-01,-2.585725454739239981e-01,1.583472878802122175e+00,1.320360987081839133e+00
6.333526228249152235e-01,-2.203509880646650654e+00,5.202897425988650681e-02,6.836861907765344748e-01
1.003961575842169607e+00,-6.179070447076008277e-01,1.822011363328323252e+00,-1.320430970013293459e+00
-6.615280218152190805e-01,9.350499881140220682e-01,4.905461382531165621e-02,2.002392583645255186e+00
1.885191925124655721e-01,-6.331940901922267217e-01,-3.775635052328082386e-01,-1.091146117619195444e+00
-1.277680166386607974e+00,6.304114907682318858e-01,5.811658124128057379e-01,1.294558819441117059e+00
-7.546057912599311024e-01,1.689107452443673107e+00,-2.873877078086662928e-01,1.574408278844586784e+00
-4.327858471825967723e-01,-7.354832923422750524e-01,2.497853715586668411e-01,1.031453084869472292e+00
1.610095767153446600e-01,-5.855288241233366220e-01,-1.341219714076669067e+00,-1.401520214917427953e+00
5.026828498748656671e-01,9.897130332858049551e-01,-1.642945926252906974e-01,-1.074364858228434638e+00
8.730421526217065908e-01,-1.280393944714573129e+00,-7.130680950592721556e-01,6.210178535400985300e-01
-2.250141173574591758e+00,3.863695975663058446e-01,-5.816408364095031480e-01,1.092796974778138808e-01
-7.570152622082311489e-02,2.021143950439598658e-01,6.941719367070081637e-01,-7.583697508984091895e-01
1.420982022311916282e+00,7.260937889477649954e-01,8.437326623032680439e-01,1.164863981111028179e+00
7.875882217058693957e-01,8.440786805785920333e-01,7.559361074288512006e-02,-1.426773850989732306e+00
-1.350451000370139210e-01,-7.695146401767056776e-01,-1.422741768515413563e+00,2.584527909129875622e-01
-5.685494541476425745e-01,-1.029804438011463708e+00,-1.043001080071565445e+00,2.684170797089146521e-01
3.586719491703444507e-01,1.322457469766833205e+00,-1.391466852409373352e-02,1.041839759212822125e+00
1.402264826772522399e+00,1.150165636149692139e+00,-2.365303906276974288e+00,1.228683719203421010e+00
3.396200082486426353e-01,4.237713528533472718e-01,3.712274177362588357e-01,3.827571602707608989e-01
3.194142202523809204e-01,-3.589133085386204680e-01,-1.901635298375994543e+00,-1.089147279074232366e-01
-8.037318485206765839e-01,1.080163412537885170e+00,-2.887665059953775093e-01,8.347535610700985986e-02
-8.496059556101430710e-01,-5.106224678981267084e-01,-1.153306168658677598e-02,-1.485375184263545201e+00
3.006851142946058153e-01,-1.060722534477509249e-01,-1.185719805005233773e+00,-2.398232865397771363e+00
5.130521338803050169e-01,-2.975840389433303534e-01,-5.300084132181583918e-01,-2.361546298529420274e-01
1.816475940881143947e+00,-4.980096905964319365e-02,8.661926298854212558e-02,-1.487072869675398090e+00
1.647339066356099835e+00,9.174879834442942750e-01,1.066934867005179033e+00,4.767273121167960037e-02
9.166547888245957232e-01,3.709468350944102322e-01,6.131890778590062263e-01,-1.521929584082903075e-01
-1.473887948041959106e+00,1.028854347803183078e+00,-1.934959636609707045e+00,-2.399366712580360550e-01
-2.045224883996608345e-01,-1.042860140984504635e+00,6.131231363365797771e-01,-2.003297014095683504e-01
-4.368683255972816148e-01,5.198417309776411921e-01,-4.765790405584137690e-01,1.388979974838308484e+00
3.514550761873138640e-01,-4.743329868344392519e-01,-1.944264975985544153e+00,-1.307753196901147552e+00
1.086830784768363367e+00,-5.060406311134240526e-02,-2.831250656795347154e-01,1.643251614242696945e+00
-1.282649244073898354e+00,-5.856577998413593500e-01,-4.725876767584840654e-01,5.863372815313003805e-01
-6.635351983040469470e-01,-6.134178486140281494e-01,-1.605149396885113600e+00,7.293494040178566395e-01
8.061393585150219421e-01,-4.763767474011619818e-01,1.633399455412986312e-01,-1.292646122759341543e+00
-4.718131547409020743e-01,1.377950952722521105e+00,1.357307340671343732e-01,2.310363486795888210e+00
-7.871927421571577321e-01,5.802844167243075280e-01,-1.955058278331023580e-01,5.658178468280931073e-01
-7.211359658756499522e-03,-5.611981104091591233e-01,-8.676167643217026493e-01,3.066036739048896731e+00
-7.734505972421602815e-02,-2.016660690233245123e+00,-6.486006079033346250e-01,6.780397271239970713e-01
-5.000084331847481911e-01,1.360446202485257494e+00,1.002398272843957772e+00,-1.523386358242357907e-01
-4.722159427760433403e-01,-1.004801007027696480e+00,-6.999665423133246689e-01,-1.473143074665625107e+00
1.204396291533084362e+00,1.590700787126061888e+00,-1.256138069727732898e+00,-1.181682975686463299e+00
-1.768511857086916939e+00,-9.638542307321740221e-01,-3.106336801283291482e+00,-1.142278956631919584e+00
1.296915399800523838e+00,-3.456725294644649726e-01,8.545842348534082866e-01,-4.889690638420449154e-01
1.760667296993122966e+00,1.992179830138570140e-01,-3.820022921434805263e-01,2.552424025371081040e+00
-3.244718562854391752e-01,-1.221223349726136220e+00,2.019100019601099139e-01,-3.883503855807973054e-02
1.066324553166257072e+00,-9.216339244978112299e-01,8.047169314794976325e-01,8.527484705742912618e-01
-6.676872919350704816e-01,1.632440057226776653e-01,-8.307519568543374477e-01,2.345808073840667696e+00
-7.041395622801669418e-01,-4.530744436687141885e-01,-1.065838021963374738e+00,-3.461212751731734261e-01
-5.876026696904224772e-03,7.677891353446865130e-01,-6.104866460656993565e-01,-1.857739586715856928e-01
-1.416489366414042106e+00,-8.274022267661551577e-01,2.755807558275951141e+00,1.041243191694795733e+00
-7.814240416773149400e-01,-1.337397241528291314e+00,-9.755828305996581129e-01,-2.169085951373510984e-02
3.472778835919032581e-02,-7.443606009308560978e-01,-1.286574466737644196e+00,1.422378505248446334e+00
4.516854512950959077e-01,-3.745680195679352842e-01,-2.206612078160865853e-01,-5.295304591256690951e-01
-2.936045446017112592e+00,1.156618270926259018e-01,-1.070544409695765919e+00,-1.002684299032819526e+00
-6.402624053903738233e-01,7.323017147112972358e-01,-1.170530808407683088e+00,-1.434281459674122017e+00
6.398520751723782984e-01,7.543689046395508635e-01,-9.589337077942220455e-01,5.623976772929591972e-01
-2.916324304147521196e-01,3.012921765535601093e-01,-1.260960280065534178e+00,8.328944493608352317e-01
1.203258954116497970e+00,6.370732356261833429e-01,5.583399616951433275e-01,-3.772275156122733897e+00
2.606297490669398087e-01,-2.544531669254353548e-02,-1.470455068463331072e-01,-6.305779899710199921e-01
5.536497491355389655e-02,4.121174051283336692e-01,-2.637881605406249830e-01,-4.633241397098708525e-01
1.229753810939271164e+00,-1.105367107269125349e+00,1.030155197823876767e+00,1.768124637305246716e-01
-8.043056452824273173e-01,-2.899818960693138492e-01,-9.199936028121968867e-01,6.750645184094393736e-01
3.479017619704715125e-01,-5.567961751531812498e-01,-1.102218299054223083e+00,3.017160935010705369e-01
9.573856068419316356e-01,-1.138363493818814604e-01,4.183525008892231556e-01,-3.760271505497427280e-01
6.756920600942722954e-02,-2.912829113936885039e-01,2.940421429749802140e-01,-1.509772513035726904e+00
6.441905231896891681e-01,-2.299324816033148089e-01,3.586080676493851871e-01,-3.403101274662089781e-01
3.203611893741035166e-01,-1.072562804128921465e+00,1.189154412488462098e+00,-1.703544587637297880e+00
-1.039238814779186226e+00,2.356660695396342597e-01,1.462842285184577040e+00,2.781263018080307736e-01
-2.479084552790861429e-01,-1.425090143243264329e+00,-1.912766644301322483e-01,-1.987701104209375555e-02
1.690568645339397102e+00,6.221252216057820972e-01,-1.529092874928446477e+00,2.026779095243192774e+00
-3.950098754987931282e-01,-8.794597147043167196e-01,1.474822652086909880e+00,-4.975576029696810593e-02
-3.674025993780988264e-01,2.187859889352312959e-01,8.448887803757161308e-01,9.933362044496503174e-01
-1.375202400052740526e+00,1.998481470271729510e+00,9.468615879956255865e-01,-3.792010620131512355e-01
-8.186598515214158489e-01,-9.690124307582063112e-01,1.233784375761825675e-01,-6.480162941896269180e-01
-7.648739652865205185e-01,8.112544049416355874e-01,3.645673438263234423e-01,-3.945712584237112130e-01
7.342475961853729416e-01,1.367378626305670863e+00,-1.094496312629645862e+00,-6.032918841422476586e-01
9.426218402198768276e-01,7.189405658150542777e-01,2.266988564379922855e-01,1.162421187558457358e+00
-1.088211729119097360e+00,-1.479137833771104082e+00,-8.665073572768980936e-01,1.225440955360400791e-01
-7.960867750951038380e-01,-4.872181564246916285e-01,-9.750001191003013767e-01,-6.204291445949027262e-01
-1.004787218992994280e+00,3.674662057456129505e-01,7.948910679832191795e-01,-4.804459395182112402e-01
-2.072657954706781935e-01,-5.810325725119153129e-01,5.312512156361891558e-01,8.905603873921995317e-02
1.594156900338214111e+00,-1.095472036637533675e+00,3.625024991910476557e-01,4.439913996466691160e-01
-3.604401709908980900e-01,5.835341273827434616e-01,-1.438522648990438357e+00,2.118803030729321080e+00
-1.342044453286441508e+00,9.198072605649880717e-01,-1.121122678939223016e+00,1.150883031231752618e+00
-3.847740266090022843e-01,1.584229071622112739e-01,5.334375570673462186e-02,1.100734095024795023e+00
-3.215474501429263499e-01,-2.967183709983943540e+00,-7.600587900644337758e-01,1.837123230889482761e-01
-4.404682048702618924e-01,7.698208513207979165e-01,1.015326995974468627e+00,-1.477718098998096474e-01
-1.489645394382511867e+00,1.384165110005896704e+00,1.083053500106817779e+00,-2.991911342670237617e-01
2.108288411392752248e+00,-3.488754600926644023e-01,-1.137119720418375390e+00,-1.558734337510055135e-01
1.077833715505770451e+00,-9.374534425425158357e-01,1.951225077743448555e+00,-8.965262145720566123e-01
9.544222763812404420e-01,5.444623742031770020e-01,-1.540570595828235356e-01,1.080532978717757109e+00
-1.499798788868194732e+00,1.357571786933189140e+00,-6.368402897024140474e-02,-5.424352498635134356e-01
7.491740480400812530e-01,1.059899013599243656e+00,7.697954306236165500e-01,1.999503821044986696e+00
1.080726076050098294e+00,1.283506632420405857e+00,-5.398639371765148187e-01,1.065237770620295621e-01
5.629825823255227846e-01,-1.774223670329363664e-02,3.016352331732358172e-01,4.261047661345686577e-01
8.442439176815352830e-01,-1.016088907700239269e-01,-3.497992153918812464e-01,-8.283156502165506252e-01
